,数量,是否出现在单词爬取网站
concert,28,True
along,28,True
waste,28,True
newspaper,28,True
bag,28,True
where,28,True
studied,28,False
understand,28,True
begins,28,False
path,28,True
battle,28,True
safe,28,True
basic,28,True
bar,28,True
increased,28,True
carried,28,False
metal,28,True
smoke,28,True
soon,28,True
fingers,28,False
runs,28,False
television,28,True
rate,28,True
constant,28,True
spot,28,True
act,28,True
broke,28,False
sent,28,False
role,28,True
negative,28,True
fell,28,False
needed,28,False
calls,28,False
education,28,True
seen,28,False
difficult,28,True
cast,28,True
mail,28,True
sales,28,True
career,28,True
income,28,True
plant,28,True
results,28,False
boss,28,True
dust,28,True
phone,28,True
danger,28,True
section,28,True
carefully,28,True
bottom,28,True
trade,28,True
negotiations,28,False
bridge,28,True
blow,28,True
lives,28,False
member,28,True
return,28,True
stopped,28,False
herself,28,True
vote,28,True
research,28,True
quarter,28,True
terms,28,True
loss,28,True
false,28,True
distance,28,True
distinct,28,True
copy,28,True
effective,28,True
English,28,True
able,28,True
lay,28,True
slowly,28,True
example,28,True
training,28,True
lift,28,True
both,26,True
yard,26,True
waited,26,False
garden,26,True
expected,26,False
sale,26,True
looks,26,False
strength,26,True
forest,26,True
friendly,26,True
theater,26,True
red,26,True
screen,26,True
coat,26,True
opened,26,False
escape,26,True
yet,26,True
excellent,26,True
reached,26,False
six,26,True
key,26,True
tax,26,True
married,26,True
soldiers,26,False
edge,26,True
contact,26,True
respect,26,True
eye,26,True
grade,26,True
consider,26,True
couple,26,True
slow,26,True
God,26,True
United,26,True
claim,26,True
ice,26,True
pattern,26,True
union,26,True
moon,26,True
inside,26,True
bus,26,True
proposed,26,True
score,26,True
guests,26,False
sat,26,False
opening,26,True
title,26,True
suddenly,26,True
meet,26,True
sleep,26,True
foreign,26,True
hope,26,True
serve,26,True
upon,26,True
interested,26,True
candidate,26,True
sight,26,True
million,26,True
design,26,True
mental,26,True
normal,26,True
manner,26,True
engine,26,True
learn,26,True
following,26,True
faith,26,True
loud,26,True
size,26,True
boy,26,True
mouth,26,True
peace,26,True
committee,26,True
victory,26,True
Mary,24,False
charges,24,False
stress,24,True
try,24,True
secure,24,True
build,24,True
degree,24,True
paid,24,False
sacred,24,True
girls,24,False
tough,24,True
imagination,24,True
letters,24,False
season,24,True
rope,24,True
John,24,False
hill,24,True
angry,24,True
fields,24,False
grave,24,True
funny,24,True
exam,24,False
streets,24,False
actor,24,True
brief,24,True
crashed,24,False
Did,24,False
sad,24,True
fighting,24,True
budget,24,True
rare,24,True
shoes,24,False
civil,24,True
milk,24,True
temperature,24,True
formal,24,True
data,24,True
specific,24,True
wore,24,False
severe,24,True
desperate,24,True
careful,24,True
seemed,24,False
round,24,True
son,24,True
Smith,24,False
domestic,24,True
daily,24,True
everything,24,True
supply,24,True
medicine,24,True
welcome,24,True
furniture,24,True
tie,24,True
popped,24,False
brush,24,True
earthquake,24,False
Chicago,24,False
Do,24,False
salt,24,True
director,24,True
tone,24,True
getting,24,False
string,24,True
dig,24,True
demand,24,True
interests,24,False
rules,24,False
extreme,24,True
wrote,24,False
stayed,24,False
guard,24,True
narrow,24,True
concerned,24,True
Our,24,False
wood,24,True
comes,24,False
criminal,24,True
former,24,True
sentence,24,True
distant,24,True
expression,24,True
sounds,22,False
advance,22,True
moment,22,True
signal,22,True
talent,22,True
skin,22,True
arms,22,False
society,22,True
created,22,False
seized,22,False
fix,22,True
mistake,22,True
trust,22,True
exposure,22,True
sick,22,True
type,22,True
sweet,22,True
average,22,True
drug,22,True
smell,22,True
capacity,22,True
throw,22,True
responsibility,22,True
effort,22,True
sex,22,True
crash,22,True
speed,22,True
actual,22,True
minute,22,True
competition,22,True
judge,22,True
appeared,22,False
grand,22,True
drawn,22,False
London,22,False
clock,22,True
ago,22,True
historical,22,True
mean,22,True
lying,22,False
feelings,22,False
artist,22,True
questions,22,False
faced,22,False
States,22,False
plot,22,True
heavily,22,True
determined,22,False
thinking,22,True
anger,22,True
unique,22,True
relations,22,False
written,22,False
goes,22,False
already,22,True
storm,22,True
page,22,True
salary,22,True
offered,22,False
drawing,22,True
animals,22,False
neighborhood,22,True
science,22,True
months,22,False
wish,22,True
ceremony,22,True
memory,22,True
keeps,22,False
golf,22,True
parts,22,False
silence,22,True
noise,22,True
capable,22,True
trial,22,True
particular,22,True
clouds,22,False
chemical,22,True
concern,22,True
structure,22,True
increase,22,True
possible,22,True
product,22,True
proof,22,True
term,22,True
telephone,22,True
practical,22,True
split,22,True
met,22,False
chance,22,True
commercial,22,True
player,22,True
master,22,True
windows,22,False
details,22,False
fun,22,True
soil,22,True
arrived,22,False
minutes,22,False
remained,22,False
fear,22,True
beyond,22,True
separate,22,True
receive,22,True
innocent,22,True
cuts,22,False
growth,22,True
connection,22,True
breath,22,True
crack,22,True
card,22,True
win,22,True
hills,22,False
pretty,22,True
task,20,True
smart,20,True
campaign,20,True
England,20,False
stick,20,True
travel,20,True
wants,20,False
bet,20,True
frame,20,True
flight,20,True
proper,20,True
branch,20,True
likes,20,False
warned,20,False
ear,20,True
vital,20,True
moral,20,True
lake,20,True
gay,20,True
Christmas,20,True
pieces,20,False
background,20,True
leaves,20,False
aside,20,True
organization,20,True
clearly,20,True
tea,20,True
dollars,20,False
stuff,20,True
match,20,True
matters,20,False
hearing,20,True
save,20,True
seems,20,False
ranks,20,False
likely,20,True
discussion,20,True
snapped,20,False
southern,20,True
brilliant,20,True
silver,20,True
statement,20,True
talked,20,False
cooking,20,True
fabric,20,True
conditions,20,False
pool,20,True
protection,20,True
tape,20,True
shoot,20,True
produce,20,True
believe,20,True
skill,20,True
afternoon,20,True
huge,20,True
service,20,True
absolute,20,True
musical,20,True
religious,20,True
chess,20,False
numbers,20,False
verb,20,False
visible,20,True
coffee,20,True
express,20,True
immediate,20,True
forces,20,False
develop,20,True
aim,20,True
shop,20,True
decided,20,False
poetry,20,True
share,20,True
spent,20,False
potatoes,20,False
perfectly,20,True
federal,20,True
caught,20,False
wound,20,True
grant,20,True
suspect,20,True
yellow,20,True
addition,20,True
pace,20,True
staff,20,True
possibility,20,True
helped,20,False
contains,20,False
continued,20,True
wire,20,True
construction,20,True
available,20,True
press,20,True
swing,20,True
trace,20,True
pitch,20,True
sudden,20,True
once,20,True
weeks,20,False
attitude,20,True
gives,20,False
conventional,20,True
awful,20,True
condition,20,True
jump,20,True
scientific,20,True
desk,20,True
asleep,20,True
reform,20,True
mass,20,True
shopping,20,True
crisis,20,True
unknown,20,True
Paris,20,False
earth,20,True
boys,20,False
station,20,True
changes,20,False
worry,20,True
value,20,True
guilty,20,True
trying,20,False
scale,20,True
stories,20,False
application,20,True
having,20,False
raised,20,False
official,20,True
upper,20,True
chapter,20,True
camp,20,True
reduce,20,True
experiment,20,True
military,20,True
speaker,20,True
usually,20,True
injured,20,False
beginning,20,True
solution,20,True
tall,20,True
watch,20,True
revolution,20,True
watched,20,False
House,20,False
tension,20,True
formation,20,True
signed,20,False
significant,20,True
restaurant,20,True
apart,20,True
sets,20,False
industrial,20,True
faces,20,False
opponent,18,True
blame,18,True
cry,18,True
retired,18,False
college,18,True
novels,18,False
teaching,18,True
rage,18,False
organic,18,True
murder,18,True
literature,18,True
notice,18,True
rapidly,18,True
mayor,18,True
drives,18,False
although,18,True
saved,18,False
kick,18,True
prime,18,True
pleasure,18,True
returned,18,False
shoulder,18,True
stepped,18,False
equal,18,True
learned,18,False
classes,18,False
remarkable,18,True
lack,18,True
luck,18,True
impression,18,True
pictures,18,False
pound,18,True
teeth,18,False
text,18,True
lady,18,True
lawyer,18,True
hardly,18,True
dramatic,18,True
roads,18,False
emotional,18,True
humor,18,True
taken,18,False
ultimate,18,True
track,18,True
understanding,18,True
various,18,True
drag,18,True
criticism,18,True
load,18,True
treated,18,False
fact,18,True
message,18,True
leg,18,True
jumped,18,False
fail,18,True
prepared,18,False
foundation,18,True
anything,18,True
proposal,18,True
features,18,False
fired,18,False
native,18,True
judgment,18,True
intense,18,True
primary,18,True
cards,18,False
reputation,18,True
suffered,18,False
supreme,18,False
industry,18,True
explanation,18,True
limited,18,True
diet,18,True
yourself,18,True
homework,18,False
supported,18,False
managed,18,False
thoughts,18,False
workers,18,False
simply,18,True
reported,18,False
tonight,18,True
buildings,18,False
noon,18,False
appeal,18,True
pipe,18,True
answered,18,False
manuscript,18,False
victim,18,True
landed,18,False
classic,18,True
cleared,18,False
labor,18,True
admitted,18,False
circle,18,True
bring,18,True
complex,18,True
names,18,False
darkness,18,True
procedure,18,True
iron,18,True
checked,18,False
glad,18,True
explosion,18,True
lights,18,False
demands,18,False
games,18,False
joined,18,False
cracked,18,False
honest,18,True
spin,18,True
source,18,True
marked,18,False
hospital,18,True
winter,18,True
believed,18,False
within,18,True
drew,18,False
conclusion,18,True
weapons,18,False
arm,18,True
lunch,18,True
powers,18,False
dogs,18,False
pale,18,True
result,18,True
estimate,18,True
bottle,18,True
profession,18,True
animal,18,True
After,18,False
spring,18,True
universal,18,True
northern,18,True
middle,18,True
winning,18,False
warning,18,True
plate,18,True
outcome,18,True
dangerous,18,True
spiritual,18,True
snap,18,True
rise,18,True
factors,18,False
toward,18,True
safety,18,True
inner,18,True
volume,18,True
taxes,18,False
remember,18,True
eat,18,True
agreed,18,False
drugs,18,False
clay,16,False
ordinary,16,True
birthday,16,True
countries,16,False
pitcher,16,False
function,16,True
alcohol,16,True
pushed,16,False
plans,16,False
proud,16,True
infection,16,True
balance,16,True
female,16,True
politics,16,True
entrance,16,True
nation,16,True
forget,16,True
fat,16,True
pockets,16,False
representative,16,True
C,16,False
mess,16,True
sides,16,False
dish,16,True
legs,16,False
wheat,16,False
sports,16,False
differences,16,False
visited,16,False
Chinese,16,True
conduct,16,True
motor,16,True
fixed,16,False
extended,16,False
speak,16,True
extra,16,True
forms,16,False
based,16,False
internal,16,True
authority,16,True
corn,16,True
occasion,16,True
items,16,False
century,16,True
extend,16,True
connect,16,True
response,16,True
become,16,True
extraordinary,16,True
apples,16,False
means,16,False
muscles,16,False
officer,16,True
If,16,False
runner,16,False
graduate,16,True
wear,16,True
spirit,16,True
houses,16,False
rest,16,True
stars,16,False
accent,16,False
funds,16,False
draft,16,True
knows,16,False
confidence,16,True
reduced,16,False
pages,16,False
silent,16,True
push,16,True
elected,16,False
citizens,16,False
coach,16,True
breakfast,16,True
since,16,True
bomb,16,True
oxygen,16,False
truck,16,True
seats,16,False
happiness,16,False
variable,16,True
blind,16,True
declared,16,False
row,16,True
parking,16,True
modest,16,True
arrow,16,False
vast,16,True
honor,16,True
civilization,16,False
male,16,True
exchange,16,True
length,16,True
unusual,16,True
tears,16,False
birth,16,True
customer,16,True
newly,16,True
measure,16,True
worth,16,True
places,16,False
coast,16,True
patch,16,True
channels,16,False
offer,16,True
ugly,16,True
stream,16,True
dream,16,True
weekend,16,True
estate,16,True
objective,16,True
electric,16,True
pilot,16,True
lie,16,True
yesterday,16,True
depth,16,True
multiple,16,True
struggle,16,True
influence,16,True
winds,16,False
die,16,True
acid,16,True
politicians,16,False
mountains,16,False
presentation,16,True
passage,16,True
washed,16,False
capital,16,True
crime,16,True
ends,16,False
refused,16,False
taught,16,False
escaped,16,False
sugar,16,True
tennis,16,True
treatment,16,True
Who,16,False
cat,16,True
unit,16,True
cultural,16,True
presence,16,True
include,16,True
shower,16,True
areas,16,False
replaced,16,False
king,16,True
trained,16,False
ate,16,False
threw,16,False
substantial,16,True
produced,16,False
uses,16,False
views,16,False
learning,16,True
agricultural,16,True
horizon,16,True
assistance,16,True
lasted,16,False
growing,16,True
groups,16,False
When,16,False
collection,16,True
conflict,16,True
principal,16,True
factor,16,True
issues,16,False
aggressive,16,True
shade,16,True
lower,16,True
manners,16,False
adequate,16,True
regularly,16,True
cells,16,False
rank,16,True
camera,16,True
immediately,16,True
caused,16,False
loan,16,True
agree,16,True
equipment,16,True
doing,16,False
defeat,16,True
rooms,16,False
composition,16,True
setting,16,True
crazy,16,True
bond,16,True
address,16,True
conducted,16,False
quietly,16,True
annual,16,True
chairman,16,True
border,16,True
professor,16,True
requires,16,False
actually,16,True
War,16,False
mile,14,False
expecting,14,False
lamp,14,False
fog,14,False
colleagues,14,False
White,14,False
ability,14,True
values,14,False
surprised,14,True
identity,14,True
shall,14,True
employment,14,True
atmosphere,14,True
grass,14,True
granted,14,False
favor,14,True
fate,14,True
invasion,14,True
reach,14,True
basket,14,True
Jones,14,False
essential,14,True
taking,14,False
weight,14,True
ships,14,False
barely,14,True
band,14,True
sexual,14,True
rose,14,True
shift,14,True
allow,14,True
pocket,14,True
dentist,14,False
wait,14,True
university,14,True
skirt,14,False
might,14,True
kicked,14,False
print,14,True
intellectual,14,True
baseball,14,True
display,14,True
count,14,True
file,14,True
region,14,True
tooth,14,True
owner,14,True
leading,14,True
pack,14,True
interpretation,14,True
relatives,14,False
painted,14,False
bars,14,False
holiday,14,True
toy,14,True
mood,14,True
satisfaction,14,True
hell,14,True
fly,14,True
Where,14,False
operated,14,False
prison,14,True
county,14,True
writer,14,True
principles,14,False
dawn,14,False
emotion,14,True
farm,14,True
article,14,True
sympathy,14,False
customers,14,False
wise,14,True
leader,14,True
horses,14,False
massive,14,True
everyday,14,True
gone,14,False
youth,14,True
governor,14,True
teams,14,False
everywhere,14,True
fundamental,14,True
missing,14,False
uniform,14,True
mad,14,True
technology,14,True
session,14,True
runners,14,False
ancient,14,True
hang,14,True
engines,14,False
efficient,14,True
release,14,True
kill,14,True
themselves,14,True
chicken,14,True
sleeping,14,False
diamond,14,False
degrees,14,False
mount,14,True
objections,14,False
singing,14,False
claimed,14,False
agent,14,True
climate,14,True
ended,14,False
assigned,14,False
bell,14,True
coming,14,False
focus,14,True
coal,14,True
radical,14,True
topic,14,True
sky,14,True
agreement,14,True
operations,14,False
cancer,14,True
assumption,14,True
wooden,14,True
lucky,14,True
neighbors,14,False
channel,14,True
employees,14,False
grew,14,False
join,14,True
north,14,True
desert,14,True
wave,14,True
doors,14,False
fortune,14,True
grades,14,False
resources,14,False
trail,14,True
phase,14,True
slight,14,True
considerable,14,True
faster,14,False
sequence,14,True
curious,14,True
electrical,14,False
valuable,14,True
assumed,14,False
itself,14,True
begin,14,True
provides,14,False
cross,14,True
south,14,True
analyze,14,True
fill,14,True
cake,14,True
defendant,14,True
shows,14,False
surprise,14,True
sensitive,14,True
extension,14,True
enterprise,14,True
schools,14,False
five,14,True
ease,14,True
relaxed,14,False
fellow,14,True
songs,14,False
directions,14,False
rarely,14,True
discipline,14,True
rapid,14,True
naked,14,True
urban,14,True
opinions,14,False
damage,14,True
attractive,14,True
resistance,14,True
enormous,14,True
personality,14,True
lap,14,True
map,14,True
investment,14,True
piano,14,True
King,14,False
international,14,True
usual,14,True
moving,14,False
manager,14,True
rent,14,False
neck,14,True
unemployment,14,False
hopes,14,False
burned,14,False
joint,14,True
midnight,14,False
hole,14,True
unable,14,True
activity,14,True
newspapers,14,False
sheet,14,True
similar,14,True
acts,14,False
correct,14,True
remembered,14,False
religion,14,True
hurt,14,True
captain,14,True
ticket,14,True
applications,14,False
below,14,True
lean,14,True
apply,14,True
continue,14,True
sorry,14,True
extremely,14,True
gossip,14,False
search,14,True
package,14,True
appearance,14,True
tomorrow,14,True
remote,14,True
tired,14,True
signs,14,False
strategic,14,True
abuse,14,True
directly,14,True
applied,14,False
routine,14,True
picnic,14,False
principle,14,True
stuffed,14,False
France,14,False
weapon,12,True
discussed,12,False
actions,12,False
Friday,12,False
killing,12,True
association,12,True
territory,12,True
hired,12,False
published,12,False
daughter,12,True
permanent,12,True
grow,12,True
syllable,12,False
beings,12,False
soul,12,True
library,12,True
files,12,False
exciting,12,True
portion,12,True
surgery,12,True
orange,12,True
tones,12,False
radio,12,True
becomes,12,False
existence,12,True
object,12,True
sticks,12,False
homeless,12,True
relationship,12,True
divorce,12,True
excuse,12,False
exception,12,True
standards,12,False
cream,12,True
materials,12,False
knocked,12,False
corners,12,False
Atlanta,12,False
author,12,True
There,12,False
stores,12,False
temper,12,False
Congress,12,True
floated,12,False
hundred,12,True
plus,12,True
lectures,12,False
recording,12,True
stir,12,True
advances,12,False
batter,12,False
nurse,12,True
represented,12,False
importance,12,True
dance,12,True
ocean,12,True
risk,12,True
lover,12,True
corporate,12,True
serves,12,False
policeman,12,False
pounds,12,False
tap,12,True
laugh,12,True
grown,12,False
bend,12,True
heads,12,False
golden,12,True
shirt,12,True
wake,12,True
woods,12,False
democratic,12,True
prisoners,12,False
willing,12,True
threat,12,True
errors,12,False
legal,12,True
waiting,12,False
jury,12,True
involves,12,False
climb,12,True
artistic,12,True
chimney,12,False
ring,12,True
affairs,12,False
testimony,12,True
stones,12,False
rejected,12,False
demanded,12,False
hostility,12,False
according,12,True
consequences,12,False
stake,12,True
fuel,12,True
height,12,True
